code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank
90,SLB,Solomon Islands,0.599419,2.011524549,21.41546981,1.242422102,27990,2072.710578,,43.22,151
710,ZAF,South Africa,55.908865,1.617203497,46.08797781,685.452,1213090,12260.16661,61.2,44.73,142
410,KOR,South Korea,51.245707,0.451318044,525.7048318,1792.87,97480,34985.75988,75.5,62.3,60
724,ESP,Spain,46.443959,-0.008048086,92.84892145,1548.87,500210,33349.22417,76.8,78.39,12
144,LKA,Sri Lanka,21.203,1.124060307,338.1119439,242.08,62710,11417.25228,65.9,60.61,70
729,SDN,Sudan,39.578828,2.380439887,22.68897306,173.607,2376000,4386.360304,49.9,51.49,115
740,SUR,Suriname,0.558368,0.928418221,3.579282051,7.749023291,156000,13877.98601,70.4,54.2,103
748,SWZ,Swaziland,1.343098,1.809667249,78.08709302,10.37360686,17200,7723.64106,55,40.32,162
752,SWE,Sweden,9.903122,1.055073996,24.31347622,462.1,407310,46662.05263,85.6,80.51,5
756,CHE,Switzerland,8.372098,1.077221168,211.866029,480.81,39516,57430.04919,81.2,87.42,1
158,TWN,Taiwan,23.555,2.59641E+11,650.7445368,1097.717369,36197,46602.30818,,72.84,23
762,TJK,Tajikistan,8.734951,2.155884123,62.93827187,24.13104856,138786,2762.585453,66.8,47.85,129
834,TZA,Tanzania,55.572201,3.092454074,62.73673628,139.38,885800,2508.088532,52.1,50.83,119
764,THA,Thailand,68.863514,0.299465512,134.7912741,1079.99,510890,15683.05097,69.5,49.88,121
626,TLS,Timor-Leste,1.268671,2.207092325,85.31748487,2.51788156,14870,1984.660767,61.5,49.54,125
768,TGO,Togo,7.606374,2.523861304,139.848759,10.51284365,54390,1382.109747,50.2,41.78,159
776,TON,Tonga,0.107122,0.710119807,148.7805556,0.570667517,720,5327.2672,,62.49,57
780,TTO,Trinidad and Tobago,1.364962,0.35742449,266.0744639,41.58323861,5130,30464.75917,69.1,67.36,35
788,TUN,Tunisia,11.403248,1.142910708,73.39886715,122.608,155360,10752.02434,68.7,62.35,58
792,TUR,Turkey,79.512426,1.5730117,103.3125346,1888.94,769630,23756.53838,68.5,52.96,108
795,TKM,Turkmenistan,5.662544,1.732524453,12.0497606,88.60960132,469930,15648.37312,56.7,66.1,38
800,UGA,Uganda,41.487965,3.290872381,206.9018801,69.99362951,200520,1687.082736,52.9,44.28,145
804,UKR,Ukraine,45.004645,-0.33138051,77.68931796,327.215,579290,7270.693947,72.7,52.87,109
784,ARE,United Arab Emirates,9.269612,1.251759052,110.8805263,622.297,83600,67133.01484,66,58.9,77
826,GBR,United Kingdom,65.637239,0.777541827,271.3067375,2574.94,241930,39229.86462,78.3,79.89,6
840,USA,United States of America,323.127513,0.692801346,35.32444263,17236.2,9147420,53341.79018,72.4,71.19,27
858,URY,Uruguay,3.444006,0.362269175,19.6777854,69.04173629,175020,20046.92683,71,64.65,47
860,UZB,Uzbekistan,31.8482,1.739791235,74.86647861,192.327,425400,6038.865619,71.2,45.88,136
548,VUT,Vanuatu,0.270402,2.167915111,22.18228056,0.772396637,12190,2856.47531,,44.55,144
862,VEN,Venezuela,31.568179,1.31705725,35.78955728,443.8400821,882050,14059.73028,65.8,63.89,51
704,VNM,Viet Nam,92.7011,1.071293182,298.9682975,552.059,310070,5955.258352,67.9,46.96,132
894,ZMB,Zambia,16.59139,3.002815515,22.31855419,60.50817421,743390,3646.962323,51.1,50.97,117
716,ZWE,Zimbabwe,16.150362,2.33606955,41.74838309,30.35667456,386850,1879.62812,56.1,43.41,149
